행정동,분기,임대료(천원/㎡)
서빙고동,20211,41.1
서빙고동,20212,41
서빙고동,20213,40.9
서빙고동,20214,40.9
서빙고동,20221,41.1
서빙고동,20222,40.6
서빙고동,20223,40.8
서빙고동,20224,40.9
서빙고동,20231,40.8
서빙고동,20232,40.7
서빙고동,20233,40.7
서빙고동,20234,40.8
서빙고동,20241,41.1
서빙고동,20242,41.7
서빙고동,20243,42.4
서빙고동,20244,42.6
서빙고동,20244,44
서빙고동,20251,42.9
서빙고동,20252,43.2
서빙고동,20253,43.6
서빙고동,20254,44
보광동,20211,41.1
보광동,20212,41
보광동,20213,40.9
보광동,20214,40.9
보광동,20221,41.1
보광동,20222,40.6
보광동,20223,40.8
보광동,20224,40.9
보광동,20231,40.8
보광동,20232,40.7
보광동,20233,40.7
보광동,20234,40.8
보광동,20241,41.1
보광동,20242,41.7
보광동,20243,42.4
보광동,20244,42.6
보광동,20244,44
보광동,20251,42.9
보광동,20252,43.2
보광동,20253,43.6
보광동,20254,44
왕십리2동,20211,39
왕십리2동,20212,39.4
왕십리2동,20213,39.7
왕십리2동,20214,39.8
왕십리2동,20221,41.2
왕십리2동,20222,41.3
왕십리2동,20223,42.8
왕십리2동,20224,42.9
왕십리2동,20231,43.2
왕십리2동,20232,43.7
왕십리2동,20233,44.2
왕십리2동,20234,44.6
왕십리2동,20241,45
왕십리2동,20242,45.6
왕십리2동,20243,49.3
왕십리2동,20244,50.2
왕십리2동,20244,53.2
왕십리2동,20251,50.8
왕십리2동,20252,51.8
왕십리2동,20253,52.4
왕십리2동,20254,53.2
왕십리도선동,20211,39
왕십리도선동,20212,39.4
왕십리도선동,20213,39.7
왕십리도선동,20214,39.8
왕십리도선동,20221,41.2
왕십리도선동,20222,41.3
왕십리도선동,20223,42.8
왕십리도선동,20224,42.9
왕십리도선동,20231,43.2
왕십리도선동,20232,43.7
왕십리도선동,20233,44.2
왕십리도선동,20234,44.6
왕십리도선동,20241,45
왕십리도선동,20242,45.6
왕십리도선동,20243,49.3
왕십리도선동,20244,50.2
왕십리도선동,20244,53.2
왕십리도선동,20251,50.8
왕십리도선동,20252,51.8
왕십리도선동,20253,52.4
왕십리도선동,20254,53.2
마장동,20211,39
마장동,20212,39.4
마장동,20213,39.7
마장동,20214,39.8
마장동,20221,41.2
마장동,20222,41.3
마장동,20223,42.8
